
 Recuentos por universidad
PDI en centros adscritos de universidades públicas por universidad, categoría y sexo
Unidades: Personal

;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;
;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;
Total;
    F. y E.S: Nivel IV. Profesor Asociado;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel V y VI. Profesor Ayudante, Auxiliar o Colaborador;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    Escuelas Universitarias y Otras Enseñanzas (E.U y Otras);..;..;..;..;..;..;..;..;..;34;34;35;40;40;42;42;44;43;..;..;..;..;..;..;..;..;..;17;18;19;23;23;25;25;26;26;..;..;..;..;..;..;..;..;..;16;17;15;17;17;17;17;18;17;
    E.U y Otras: Nivel I. Profesor Agregado y Titular;..;..;..;..;..;..;..;..;..;34;34;35;40;40;42;42;44;43;..;..;..;..;..;..;..;..;..;17;18;19;23;23;25;25;26;26;..;..;..;..;..;..;..;..;..;16;17;15;17;17;17;17;18;17;
    E.U y Otras: Nivel II. Profesor Adjunto y Contratado Doctor;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    E.U y Otras: Nivel III y Nivel IV. Profesor Asociado, Ayudante, Auxiliar y Colaborador;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    Otro personal docente;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
Alicante;
    Total;..;..;..;..;..;..;..;..;..;5;5;5;5;5;5;5;4;5;.;.;.;.;.;.;.;.;.;2;2;2;2;2;2;2;1;..;..;..;..;..;..;..;..;..;..;3;3;3;3;3;3;3;3;4;
    Facultades y Escuelas Superiores (F. y E.S);.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;4;
    F. y E.S: Nivel I. Profesor Director, Ordinario y Catedrático;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel II. Profesor Agregado y Titular;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;..;
    F. y E.S: Nivel III. Profesor Adjunto, Contratado Doctor y Ayudante Doctor;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel IV. Profesor Asociado;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;..;
    F. y E.S: Nivel V y VI. Profesor Ayudante, Auxiliar o Colaborador;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    Escuelas Universitarias y Otras Enseñanzas (E.U y Otras);..;..;..;..;..;..;..;..;.;5;5;5;5;5;5;5;4;.;.;.;.;.;.;.;.;.;.;2;2;2;2;2;2;2;1;.;..;..;..;..;..;..;..;..;.;3;3;3;3;3;3;3;3;.;
    E.U y Otras: Nivel I. Profesor Agregado y Titular;.;.;.;.;.;.;.;.;.;1;1;1;1;1;1;1;1;.;..;..;..;..;..;..;..;..;.;..;..;..;..;..;..;..;..;.;..;..;..;..;..;..;..;..;.;..;..;..;..;..;..;..;..;.;
    E.U y Otras: Nivel II. Profesor Adjunto y Contratado Doctor;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    E.U y Otras: Nivel III y Nivel IV. Profesor Asociado, Ayudante, Auxiliar y Colaborador;..;..;..;..;..;..;..;..;.;4;4;3;3;3;3;3;3;.;.;.;.;.;.;.;.;.;.;1;1;1;1;1;1;1;1;.;..;.;.;..;..;..;..;..;.;2;2;2;2;2;2;2;2;.;
    Otro personal docente;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
Almería;
    Total;..;..;..;.;.;.;.;.;.;7;6;6;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;4;4;4;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;3;2;2;.;.;.;.;.;.;
    Facultades y Escuelas Superiores (F. y E.S);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel I. Profesor Director, Ordinario y Catedrático;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel II. Profesor Agregado y Titular;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel III. Profesor Adjunto, Contratado Doctor y Ayudante Doctor;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel IV. Profesor Asociado;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel V y VI. Profesor Ayudante, Auxiliar o Colaborador;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    Escuelas Universitarias y Otras Enseñanzas (E.U y Otras);..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;
    E.U y Otras: Nivel I. Profesor Agregado y Titular;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    E.U y Otras: Nivel II. Profesor Adjunto y Contratado Doctor;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    E.U y Otras: Nivel III y Nivel IV. Profesor Asociado, Ayudante, Auxiliar y Colaborador;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;
    Otro personal docente;..;..;..;.;.;.;.;.;.;6;6;6;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;4;4;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;2;2;.;.;.;.;.;.;
Autónoma de Barcelona;
    Total;846;796;802;725;739;678;566;532;562;317;272;266;307;306;299;288;267;280;425;383;394;348;341;320;276;252;268;146;125;132;158;161;160;157;140;155;421;413;408;377;398;358;290;280;294;171;147;135;150;145;139;131;127;125;
    Facultades y Escuelas Superiores (F. y E.S);190;..;..;109;102;..;..;107;..;61;29;43;45;44;42;40;74;44;..;..;..;..;..;..;..;..;..;22;10;17;16;13;13;13;30;13;113;..;..;..;..;..;..;..;..;39;19;26;29;30;29;27;43;32;
    F. y E.S: Nivel I. Profesor Director, Ordinario y Catedrático;..;..;..;..;..;..;..;..;..;47;26;38;41;39;36;39;38;40;..;..;..;..;..;..;..;..;..;16;9;15;14;12;11;12;10;10;..;..;..;..;..;..;..;..;..;31;17;24;27;26;25;27;29;30;
    F. y E.S: Nivel II. Profesor Agregado y Titular;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel III. Profesor Adjunto, Contratado Doctor y Ayudante Doctor;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;34;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;20;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;14;.;
    F. y E.S: Nivel IV. Profesor Asociado;132;..;..;..;..;..;..;..;..;14;3;4;4;5;5;1;1;4;..;..;..;..;..;..;.;.;.;6;1;2;2;1;1;1;1;..;..;..;..;..;..;..;.;.;.;8;2;2;2;4;4;1;1;..;
    F. y E.S: Nivel V y VI. Profesor Ayudante, Auxiliar o Colaborador;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    Escuelas Universitarias y Otras Enseñanzas (E.U y Otras);585;355;404;251;290;262;251;165;246;208;114;115;137;146;143;146;97;141;313;201;228;135;151;141;135;..;128;97;54;59;81;87;88;90;60;89;272;154;176;116;139;121;116;..;118;111;60;56;56;59;56;56;38;52;
    E.U y Otras: Nivel I. Profesor Agregado y Titular;125;106;..;..;..;..;..;..;..;60;44;23;39;38;35;41;36;38;..;..;..;..;..;..;..;..;..;36;21;8;28;28;25;28;26;28;..;..;..;..;..;..;..;..;..;24;23;14;11;10;10;13;10;10;
    E.U y Otras: Nivel II. Profesor Adjunto y Contratado Doctor;..;..;..;..;..;..;..;.;..;21;13;22;35;38;39;36;.;41;..;..;..;..;..;..;..;.;..;12;7;9;21;23;24;23;.;28;..;..;..;..;..;..;..;.;..;9;6;13;14;16;15;13;.;13;
    E.U y Otras: Nivel III y Nivel IV. Profesor Asociado, Ayudante, Auxiliar y Colaborador;421;215;263;127;152;143;133;112;119;127;57;70;62;70;70;69;62;61;211;116;154;..;..;..;..;..;..;49;26;42;32;37;40;39;34;33;210;..;109;..;..;..;..;..;..;78;31;29;31;33;30;30;28;28;
    Otro personal docente;..;372;306;365;347;321;247;260;248;47;129;109;125;117;114;102;96;95;..;162;133;170;159;153;116;122;119;27;61;56;61;61;60;54;50;53;..;210;173;195;188;168;131;138;129;21;68;53;64;56;54;48;46;41;
Autónoma de Madrid;
    Total;211;222;241;252;239;280;277;291;307;83;89;101;109;111;115;119;117;124;119;119;126;130;126;157;150;156;167;47;49;54;62;61;66;68;69;75;..;103;115;122;113;123;127;135;140;36;40;47;47;50;49;50;47;48;
    Facultades y Escuelas Superiores (F. y E.S);..;..;..;..;..;..;..;..;..;17;2;3;3;3;3;3;2;11;..;..;..;..;..;..;..;.;..;7;1;1;1;1;2;2;1;8;..;..;..;..;..;..;..;..;..;10;1;2;2;2;1;1;1;..;
